uid,type,subject,sub_category,difficulty,text,choice_1,choice_2,choice_3,choice_4,answer,media_refs,source,status,extra_data
STC_Q1,mcq,english,Reading_Comprehension,,"The details of the section ""The Growth of an Idea"" convey a central idea of the passage by suggesting that",the collaborative efforts of colleagues resulted in successful communication over a wire.,a great deal of interest and work was devoted to understanding how to use electricity to send signals.,Faraday's invention of the electromagnet inspired the invention of the telegraph.,colleges like Yale played a great role in making new discoveries about electricity and its applications.,B,,STC,pending,
STC_Q2,mcq,english,Reading_Comprehension,,Which sentence is the best summary of how Morse obtained the funding necessary to build his telegraph system?,"Morse's application for a federal grant was delayed until 1843, so he spent time traveling in Europe, where he concentrated on obtaining a patent for his system.","Morse applied for a government grant that required both houses of Congress and the president to pass a bill awarding him $30,000 for his telegraph project.","Morse applied for a government appropriation and conducted telegraph demonstrations to show that his system could work, and after a delay caused by a financial depression, Congress approved the $30,000 appropriation in 1843.",Working with Gale and Vail allowed Morse to find flaws in Henry's work and to develop his own ideas before applying for the federal government appropriation.,C,,STC,pending,
STC_Q3,mcq,english,Vocabulary_in_Context,,"Read this sentence from paragraph 7.

The desperate Morse gave the go-ahead, and the line was completed in time for the dramatic and spectacularly successful link between the Supreme Court chamber of the Capitol building and the railroad station in Baltimore.

The words ""dramatic"" and ""spectacularly"" in the sentence convey a",sense of relief and fulfillment that the line was finished.,sense of wonder and celebration that the telegraph line was accomplished.,feeling of excitement about the future possibilities of the telegraph.,feeling of confidence about being able to continue the work.,B,,STC,pending,
STC_Q4,mcq,english,Reading_Comprehension,,How does the graph support the ideas in paragraph 8?,It indicates how welcome the improvement of long-distance communication was in the United States.,It provides evidence of the dramatic increase in the number of telegraph messages as Morse's system expanded across the United States.,It reveals that by the twentieth century millions of people had used the telegraph despite earlier hesitations about the system.,It shows how improvements that allowed Morse code to be read in real time made relaying telegraph messages faster and increased the system's usage.,B,,STC,pending,
STC_Q5,mcq,english,Reading_Comprehension,,"The idea that, in the mid-nineteenth century, the United States was mostly unaware of the possibilities of electricity is illustrated in the passage mainly through the",description of the government's initial desire to expand a semaphore signaling system that used either flags or lights along the Atlantic Coast.,delay by the House of Representatives to pass the bill funding Morse's telegraph line six years after he first applied for the appropriation.,discussions of the newly invented electromagnet that sparked the idea of sending codes through wires.,description of how an electric circuit could be closed to ring a bell at a distance.,B,,STC,pending,
STC_Q6,mcq,english,Reading_Comprehension,,With which statement would the author most likely agree?,Morse's telegraph was successful because the wires were strung aboveground rather than underground as originally planned.,Understanding the importance of Morse's telegraph requires detailed knowledge of electrical systems.,The implementation of Morse's telegraph system was overly influenced by economic factors.,Morse's invention of the telegraph made a great stride toward better connecting people across the United States and across the world.,D,,STC,pending,
STC_Q7,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 2.

They are extraordinarily level, one long curtain of lacework and woven foam.

What is the effect of comparing the American Falls to a ""long curtain of lacework and woven foam""?",It demonstrates the timelessness of the American Falls.,It conveys the secretive nature of the American Falls.,It illustrates the elegant uniformity of the American Falls.,It communicates the intense strength of the American Falls.,C,,STC,pending,
STC_Q8,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 3.

These are the lower rapids, a sight more terrifying than the Falls, because less intelligible.

Which statement best describes how the sentence fits into the overall structure of the excerpt?",It signals a change from the positive aspects of the Falls to the negative aspects.,It indicates a progression from the literal description of the water to a discussion of timeless truths.,It reinforces a shift from the qualities of the Falls to the qualities of the river.,It introduces a contrast between the obvious and the hidden features of the rapids.,C,,STC,pending,
STC_Q9,mcq,english,Reading_Comprehension,,Which sentence from the excerpt best supports the idea that the essence of the Falls lies in their emotional impact?,"""If that were taken away, there would be little visible change, but the heart would be gone."" (paragraph 1)","""By comparison their beauty is almost delicate and fragile."" (paragraph 2)","""One is drawn back, strangely, to a contemplation of the Falls, at every hour, and especially by night, when the cloud of spray becomes an immense visible ghost, straining and wavering high above the river, white and pathetic and translucent."" (paragraph 4)","""A man's life is of many flashing moments, and yet one stream; a nation's flows through all its citizens, and yet is more than they."" (paragraph 4)",A,,STC,pending,
STC_Q10,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 4.

There one can sit and let great cloudy thoughts of destiny and the passage of empires drift through the mind; for such dreams are at home by Niagara.

The sentence most contributes to the development of ideas in the excerpt by",suggesting that viewing the Falls can be a life-changing experience.,showing that the cliffs of the Falls are a good place for self-examination.,emphasizing that the grandeur of the Falls seems impossible to grasp.,highlighting the type of reflection that is inspired by a visit to the Falls.,D,,STC,pending,
STC_Q11,mcq,english,Reading_Comprehension,,"In paragraph 4, the idea that human life and history ultimately end in the same way is illustrated mainly through",the discussion of how the rainbows visible in the Falls are like the art and beauty created by humankind.,the comparison between the movement of water in the Falls and the human experience.,the inclusion of details that show that every observer’s experience with the Falls is different.,the acknowledgment that contemplating the Falls at night sparks an awareness of humankind’s destiny.,B,,STC,pending,
STC_Q12,mcq,english,Reading_Comprehension,,With which statement would the author of this excerpt most likely agree?,A sense of ease and assurance comes with accepting one's fate.,"No matter where one's path goes in life, one will always have regrets.",The best way to overcome fear is to recognize it and then defy it.,"Reason will die out with humanity, but art will remain immortal.",C,,STC,pending,
STC_Q13,mcq,english,Reading_Comprehension,,"In paragraph 1, the phrases ""cool morning breezes swept freely"" and ""wafting the perfume of sweet grasses"" affect the tone of the excerpt by suggesting",the sadness that the author feels reflecting upon her former way of life.,the enthusiasm with which the author approached her work indoors.,the fond feelings that the author has toward her childhood experiences.,the mix of emotions that the author feels toward her work and her mother.,C,,STC,pending,
STC_Q14,mcq,english,Reading_Comprehension,,"The phrase ""just as an artist arranges the paints upon his palette"" in paragraph 2 suggests that",beadwork is a true form of art.,color is a source of artistic inspiration.,all artistic activities begin with a series of steps.,the beadworker tries to imitate art.,A,,STC,pending,
STC_Q15,mcq,english,Reading_Comprehension,,The author's use of sequence in paragraphs 1 and 2 contributes to the development of ideas in the excerpt by,listing the many steps that are involved in the process of beading in order to explain its difficulty and complexity.,conveying the importance of following the steps of the beading process in a precise order to work most efficiently.,emphasizing the time required to fully prepare for and execute the many large and small tasks in the activity of beading.,detailing each step in preparation for beading in order to highlight the author's enthusiasm for the work.,D,,STC,pending,
STC_Q16,mcq,english,Reading_Comprehension,,Which sentence best summarizes the process of beading that is described in the excerpt?,Take a buckskin bag full of beads and spread them out on a mat in different colors like a paint palette; take a double sheet of buckskin and smooth it out on a table; take a sinew and awl and thread the beads onto the buckskin in a desired pattern.,Cut the double sheet of buckskin into a shape; take a skein of sinew and pierce the buckskin with an awl; thread the sinew with beads of many different colors in a simple or complex pattern; twist the sinew to keep it tight after every stitch into the buckskin.,"Arrange the beads into groups of colors on a mat; smooth out a double sheet of buckskin and cut it to shape; take a single thread of sinew; pierce the buckskin with an awl; thread the buckskin with the sinew and string it with beads, carefully twisting after every stitch.","Gather beads, buckskin, sinew, and awl and place them on a mat; cut the buckskin into the desired shape; decide on a pattern for the beads and create it using the sinews and the awl; thread the beads onto the sinew in the desired pattern and twist it tight.",C,,STC,pending,
STC_Q17,mcq,english,Reading_Comprehension,,The idea that mastering moccasin design and creation requires experience is best illustrated in the excerpt through,the information about the advanced technique of incorporating porcupine quills into a design.,the descriptions of the special materials that must be used to make decorated moccasins.,the descriptions of the various color combinations that make an attractive moccasin design.,the example of the author successfully and independently using a sharpened rod.,D,,STC,pending,
STC_Q18,mcq,english,Reading_Comprehension,,How does the author distinguish her point of view from that of her mother?,by describing their techniques for knotting sinew thread (paragraph 4),by describing their approaches to beadwork design (paragraph 5),by stating her mother's instructions on working with quills (paragraph 6),by stating her mother's ideas about activities after lessons (paragraph 7),B,,STC,pending,
STC_Q19,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 7.

Always after these confining lessons I was wild with surplus spirits, and found joyous relief in running loose in the open again.

Which sentence best describes how this sentence fits into the overall structure of the excerpt?",It introduces a shift from the author's demanding relationship with her mother to her more relaxed relationships with friends.,It signals a change from the challenging aspects of life on the reservation to the advantages of living on the prairie.,It highlights a contrast between the focus and control required while working and the freedom of having fun outside.,It concludes the progression of events in the narrative by describing the sequence of events at the end of the author's day.,C,,STC,pending,
STC_Q20,mcq,english,Reading_Comprehension,,"Read lines 6-7 from the poem.

The birds took their hops and zigzags a little more anxious; a home is a home; worms are worms.

What idea from the second stanza do the lines help develop?",The birds are eager for the return of warmer months.,The birds are most likely to thrive during the spring.,The birds naturally adjust to the seasonal changes.,The birds instinctively prepare for the future.,C,,STC,pending,
STC_Q21,mcq,english,Reading_Comprehension,,"Read lines 12–14 from the poem.

And it was the leaves with a strong soft wind over them
    that talked most of all and said more than any others
        though speaking the fewest words.

What does the phrase ""talked most of all"" in line 13 convey?",It establishes that the speaker thinks the sound of wind in the leaves is the best indication that the season is changing.,It introduces the idea that the sound of the wind in the leaves remains constant throughout the seasons.,It suggests that the speaker is overwhelmed by the sounds of nature that emerge as the season changes.,It emphasizes that the sounds of nature enable the speaker to appreciate each season of the year.,A,,STC,pending,
STC_Q22,mcq,english,Reading_Comprehension,,"How does the repetition of "" 'This is the beginning of summer' "" in lines 2–3 and lines 18–19 contribute to the meaning of the poem?",It suggests that the shift to summer occurs in the same way each year.,It emphasizes the idea that living things are prepared for the change of season.,It highlights the idea that the first signs of summer are surprising each year.,It builds expectations about what the natural world looks like during a change of season.,A,,STC,pending,
STC_Q23,mcq,english,Reading_Comprehension,,Which lines from the poem best contrast with the idea of winter's scarcity and bleakness?,"""The shrilling of the frogs was not so shrill as in the / first weeks after the broken winter;"" (lines 4-5)","""The yellow spreads of the dandelions and buttercups / reached across the green pastures."" (lines 8-9)","""Tee whee and tee whee came on the breezes, and the / grackles / chuzzled their syllables."" (lines 10-11)","""Or if instead of counting up last year as against / this year, they count up this year as against next"" (lines 25-26)",B,,STC,pending,
