uid,filename,page,type,x0,y0,x1,y1,width,height,scope,assigned_to,tag,text
19B_Q4-Q9_A,19B,4,passage,,,,,,,range,19B_Q4-Q9,[19B_Q4-Q9_A],"the writing quality of the text and to correct errors so that the text follows the conventions of standard the best answer for each question. Martial Arts for the Mind and Body (1) The martial arts blend a series of physical movements with strategic mental discipline so that practitioners can defend themselves, physically defeat an opponent, or both. (2) Historiansare unsure of exactly when and where martial arts were first used. (3) Martialarts have been practiced by several different societies for many centuries. (4) Martialarts such as karate, kung fu, tae kwon do, and judo are still taught and practiced as methods of self-defense, but they offer students more than that. (5) The study of martial arts can provide students with a way to enhance their mental discipline as well as their (6) Discipline, focus, and respect are important qualities for everyone to have. (7) However,for most people these qualities are not innate; they must be learned and practiced. (8) Thestudy of martial arts can provide an opportunity to develop these skills. (9) Studentsare rewarded for their dedication by passing tests and advancing to higher levels. (10) Forexample, in a typical tae kwon do class, students learn discipline by diligently practicing moves, improve focus by listening carefully, and demonstrate respect by bowing to the instructor and following directions. (11) For teenagers, martial arts classes provide a safe and structured environment for gaining physical skills, building confidence, and enjoying a sense of community. (12) Alot of teens go through hard situations as they try to do well in school and in life. (13) Akarate class can provide teens with a physical outlet for stress while also challenging them mentally. (14) Participatingin a martial arts program also helps children and teens focus on self-improvement rather than on competition. (15) Progressingthrough levels of achievement involves mastering more physically demanding techniques. (16) Itrequires students to take responsibility and be accountable for achieving set goals. (17) Studentsgain confidence and experience companionship with other students who are progressing (18) Adults who practice martial arts can experience many of the same benefits that younger people do, but perhaps the greatest of these is health and fitness. (19) Adultmartial arts students often see changes in their body within weeks of beginning a program. (20) For people interested in studying a martial art, there are many ways to learn and practice. (21) In addition to private studios, community recreation centers often offer low-cost or free martial arts classes. (22) Thereare even online videos that introduce students to the basic concepts. (23) Peopleshould study FORMB 4 CONTINUE ON TO THE NEXT PAGE c"
19B_Q27-Q32_A,19B,17,passage,,,,,,,range,19B_Q27-Q32,[19B_Q27-Q32_A],"<i>In this excerpt, published in 1914, author and professor Dallas Lore Sharp describes a summer cattle</i> <i>roundup in Oregon. The heat and dust had been relentless for three days. The cowboys were exhausted,</i> <i>and the cattle were restless. The ranch boss, Wade, had led the drive to a watering place, only to find</i> Excerpt from “The Spirit of the Herd” Along with the wagon had come the fresh horses—one of them being Peroxide Jim, a supple, powerful, 1 clean-limbed buckskin, a horse, I think, that had as fine and intelligent an animal-face as any creature I ever saw. Wade had been saving this horse for emergency work. And why should he not have been saved fresh for just such a need as this? Are there not superior horses as well as superior men—a Peroxide Jim to complement a Wade? The horse knew the cattle business and knew his rider perfectly; and though there was nothing like 2 sentiment about the boss of the P Ranchriders, his faith in Peroxide Jim was complete. . . . tablelands,1or 3 The desert, where the herd was camped, was one of the highest of a series of benches; it lay as level as a floor, rimmed by sheer rock, from which there was a drop to the bench of sage below. The herd when overtaken by the dusk had been headed for a pass descending to the next lower bench, but was now halted within a mile of the rim rock on the east, where there was a perpendicular fall of about three hundredfeet. . . . In the taut silence of the stirless desert night, with the tension of the herd at the snapping-point, any 4 quick, unwonted sight or sound would stampede them. The sneezing of a horse, the flare of a match, would be enough to send the whole four thousandheadlong—blind, frenzied, trampling—till spent and And so, as he rode, Wade began to sing. The rider ahead of him took up the air and passed it on until, 5 above the stepping stir of the hoofs rose the faint voices of the men, and all the herd was bound about by the slow plaintive measures of some old song. It was not to soothe their savage breasts that the riders sang to the cattle, but rather to preempt the dreaded silence, to relieve the tension, and so to prevent the shock of any sudden startling noise. So they sang and rode and the night wore on to one o’clock,when Wade, coming up on the rim-rock 6 side, felt a cool breeze fan his face, and caught a breath of fresh, moist wind with the taste of water He checked his horse instantly, listening as the wind swept past him over the cattle. But they must 7 already have smelled it, for they had ceased their milling, the whole herd standing motionless, the indistinct forms close to him in the dark showing their bald faces lifted to drink the sweet wet breath that came over the rim. Then they started on again, but faster, and with a rumbling now from their hoarse throats that tightened Wade’s grip on the reins. The sound seemed to come out of the earth, a low, rumbling mumble, as dark as the night and as wide 8 as the plain, a thick, inarticulate bellow that stood every rider stiff in his stirrups. . . . <b>1tablelands:plateaus,</b> flat areas of land sharply elevated from the surrounding area 9 Then the breeze caught the dust and carried it back from the gray-coated, ghostly shapes, and Wade saw that the animals were still moving in a circle. He must keep them going. He touched his horse to ride on with them, when across the black sky flashed a vivid streak of lightning. There was a snort from the steers, a quick clap of horns and hoofs from far within the herd, a tremor 10 of the plain, a roar, a surging mass—and Wade was riding the flank of a wild stampede. Before him, behind him, beside him, pressing hard upon his horse, galloped the frenzied steers, and beyond them a multitude borne on, and bearing him on, by the heave of the galloping herd. Wade was riding for his life. He knew it. His horse knew it. He was riding to turn the herd, too, back 11 from the rim, as the horse also knew. The cattle were after water—water-mad—ready to go over the precipice to get it, carrying horse and rider with them. Wade was the only rider between the herd and the rim. It was black as death. He could see nothing in the sage, could scarcely discern the pounding, panting shadows at his side. He knew that he was being borne toward the rim, how fast he could not tapaderos2and tell, but he knew by the swish of the brush against his the plunging of the horse that the ground was growing stonier, that they were nearing the rocks. To outrun the herd was his only chance for life. If he could come up with the leaders he might not only 12 escape, but even stand a chance of heading them off upon the plain and saving the herd. There were cattle still ahead of him; how many, what part of them all, he could not make out in the dark. But the horse knew. The reins hung on his straight neck, where his rider had dropped them, as, yelling and firing over the wild herd, he had given this horse the race to win, to lose. They were riding the rim. Close on their left bore down the flank of the herd, and on their right, under 13 their very feet, was a precipice, so close that they felt its blackness—its three hundredfeet of fall! . . . . . . Then Wade found himself racing neck and neck with a big white steer, which the horse, with 14 marvelous instinct, seemed to pick out from a bunch, and to cling to, forcing him gradually ahead, till, cutting him free from the bunch entirely, he bore him off into the swishing sage. 15 The steers coming on close behind followed their leader, and in, after them, swung others. The tide was turning from the rim. More and more were veering, and within a short time the whole herd, bearing off from the cliffs, was pounding over the open plains. Whose race was it? It was Peroxide Jim’s, according to Wade, for not by word or by touch of hand or 16 knee had the horse been directed in the run. From the flash of the lightning the horse had taken the bit, had covered an indescribably perilous path at top speed, had outrun the herd and turned it from the edge of the rim rock, without a false step or a tremor of fear. From “The Spirit of the Herd” by Dallas Lore Sharp—Public Domain <b>2tapaderos:leather</b> covers for stirrups"
19B_Q35-Q40_A,19B,22,passage,,,,,,,range,19B_Q35-Q40,[19B_Q35-Q40_A],"A high school senior logs on to a computer at the library to double-check the application due date 1 listed on a college admissions website. Nearby, a librarian helps a group of biology students use a database to search for recent studies about mammals. In the past few decades, the Internet has become an integral component of daily life for many people. The seemingly limitless power of search engines made the Internet search extremely common, and today people increasingly rely on the Internet’s vast accumulation of sources to access all types of information. Scientists are beginning to examine how this reliance is modifying the strategies people use to store and prioritize information in <b>A Dependable and Valuable Asset</b> Psychologist Benjamin Storm from the University of California, Santa Cruz, and researchers Sean 2 Stone and Aaron Benjamin devised an experiment to study students’ tendency to depend on the Internet for facts. To begin, the scientists divided sixty participants into multiple groups, including an “Internet” group and a “memory” group, and placed them in front of computers. The Internet group was required to use the search engine Google to answer eight challenging trivia questions. In contrast, participants in the memory group were permitted to use only their personal knowledge to answer the questions. In the second round, the researchers administered notably easier questions. This time, they allowed each group the option of using Google as they answered. Their results showed that 83 percent of the Internet group continued to consult Google in the second round, while only 63 percentof the 3 People’s growing inclination to rely on the Internet in order to retrieve information, particularly facts and figures, is called cognitive offloading. Canadian researcher Evan F. Risko and British researcher Sam Gilbert, who have written extensively about the topic, say a similar process has been taking place for centuries. In the past, people used resources like encyclopedias to assist their memories; however, today the Internet, serving as a vast extended memory, allows people to digitally access and retrieve much larger volumes of information. Consequently, people’s minds are free for other cognitive feats, such as connecting data, learning new information, or solving problems. 4 The use of the Internet also appears to be modifying the strategies people use to store information in their mind. Researchers Betsy Sparrow from Columbia University, Jenny Liu from the University of Wisconsin-Madison, and Daniel Wegner from Harvard University conducted several studies to discover how people efficiently manage their information intake. 5 To begin, the researchers examined how people evaluate which information deserves their effort to remember. For this experiment, participants read forty trivia facts, such as “An ostrich’s eye is bigger than its brain,” and typed the statements into a computer file. Half the participants had been previously told the file would be saved, while half believed it would be erased. Next, the participants wrote down every fact they could recall. Those who believed the information would be erased and no longer available could recall 40 percentmore facts than those who thought the information would In another experiment, the same researchers tested the ability of study participants to remember 6 where to access information. For this trial, participants read and typed trivia statements, which they saved in folders with generic names such as “Facts” and “Items.” After spending ten minutes writing down all the facts they could recall from memory, participants were asked which folder contained a particular fact based on a keyword. For example, “Which folder has the fact about ostriches?” Overall, participants recalled the information’s location more often than the content itself, correctly identifying 49 percentof the folders for specific facts while remembering only 23 percentof the actual trivia. The researchers concluded that our memory is adapting to the Internet age by prioritizing where to locate information even when the specific details are forgotten. According to Sparrow, the Internet has become an important form of transactive memory, an external source of the recollections and associative networks that constitute memory. As the Internet’s resources continue to expand our “external” memory, some question whether the 7 process may cause people to depend too heavily on technology. However, Steven Pinker, a professor of psychology at Harvard University, says, “Knowledge is increasing exponentially; human brainpower and waking hours are not. Fortunately, the Internet and information technologies are helping us manage, search and retrieve our collective intellectual output at different scales, from Twitter and previews to e-books and online encyclopedias. Far from making us stupid, these technologies are the only things that will keep us smart.” New Information Sensory Attention Short-Term Storage Long-Term Retrieval Unrehearsed Some information information is may be forgotten"
19B_Q43-Q50_A,19B,26,passage,,,,,,,range,19B_Q43-Q50,[19B_Q43-Q50_A],"such as search engines are unavailable. <i>The Great Serpent Mound, located in Adams County, Ohio, is a human-made mound of earth that</i> <i>researchers believe was created between 300 B.C.and A.D.1100 by an indigenous culture.</i> Brush Creek stood low when the museum men came with their measuring tapes and sketchbooks. It was winter. Fringed with ice, the creek doubled back on itself as if it had forgotten something. 5 Pa was in Cincinnati, or else on his way home, into the marshy low grounds. It being winter, there was little underbrush to speak of— in the summer there would have been 10 briars, poison ivy, biting flies. I listened for the <i>swishof</i> a beaver’s heavy tail, the chitter of a chickadee, or the cry of a hawk, but the winter silence of the creek pressed down on all of us like a weight. 15 The humps in the ground were all but invisible until you were right up on them. The figure was even less obvious: the sinuous body, the tail coiled three times around, 20 and at the other end, the mouth wide open. In the summer the creek bottom was crowded with so much life that you could trip over the ridges of earth before you saw anything at all. In winter you could climb a tree and get some idea of the whole thing: 25 the serpent’s body undulating, slithering earth. At the mouth end, there was an oval mound as if the snake were about to swallow an egg— as snakes sometimes did in our rickety 30 henhouse—my Pa always said, or as if swallowing the sun, one of the museum men suggested, taking notes with his quill pen, an old-style inkhorn slung at his side. I liked that: swallowing the sun, 35 just the sort of thing a snake might do, might want to do. When, later, I told my sister Ruth, she disagreed. It is singing to the sun, she insisted. That is why its mouth 40 is wide open. She said, “Sometimes I think I hear it on summer nights. Not swallowing, singing.”"
19B_P22_0,19B,22,rect,174,374,249,417,75,43,question,19B_Q35,[19B_Q35_A],
19B_P22_1,19B,22,rect,459,374,534,417,75,43,question,19B_Q35,[19B_Q35_B],
19B_P34_0,19B,34,table,122,234,248,317,126,83,question,19B_Q58,[19B_Q58_A],
19B_P34_1,19B,34,rect,121,475,248,558,127,83,question,19B_Q59,[19B_Q59_A],
19B_P36_0,19B,36,rect,415,316,505,408,90,92,question,19B_Q73,[19B_Q73_A],
19B_P37_0,19B,37,rect,101,443,279,536,178,93,question,19B_Q76,[19B_Q76_A],
