uid,type,subject,sub_category,difficulty,text,choice_1,choice_2,choice_3,choice_4,answer,media_refs,source,status,extra_data
STB_Q1,mcq,english,Reading_Comprehension,,"What is the effect of comparing groups of bristlecone pines to ""a city within a cemetery"" (paragraph 2)?",It illustrates that the new tree's appearance is markedly different from that of mature bristlecone pines.,It emphasizes the new tree's ability to use resources left by prior generations of bristlecone pines.,It highlights the tree's capacity for a long life if it is able to survive to maturity.,It reveals that the tree's dense growth patterns are unusual in arid conditions.,B,,STB,pending,
STB_Q2,mcq,english,Reading_Comprehension,,"In paragraph 4, the idea that the bristlecone pine can withstand difficult conditions is illustrated mainly through",a comparison of the bristlecone pine with similar trees that are known for their long lives.,a description of specific qualities of the bristlecone pine that make it suited to its environment.,an explanation of why the White Mountains are the best place for the bristlecone pine to grow.,an examination of why the bristlecone pine has few competitors in the White Mountains.,B,,STB,pending,
STB_Q3,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 5.

Empires rose and fell; wars raged; . . . and the tree from 2500 B.C. continued its implacable slow-motion existence, adding about two-hundredths of an inch to the diameter of its trunk each year.

The sentence contributes to the development of ideas in the excerpt by",emphasizing the bristlecone pine's precise growth pattern.,suggesting that things that seem well established face threats.,describing the pace of the life cycle of the bristlecone pine.,explaining the reason for the bristlecone pine's longevity.,C,,STB,pending,
STB_Q4,mcq,english,Reading_Comprehension,,Which claim is best supported by the details in paragraph 5 about the bristlecone pine's tree-ring record?,The bristlecone pine must be protected from extinction so that there is a record of changing Earth conditions.,The structure of the bristlecone pine allows scientists to predict changing Earth conditions over time.,The slow growth process of the bristlecone pine allows it to survive in spite of changing Earth conditions.,The bristlecone pine can be used to gather information on changing Earth conditions because of its long life.,D,,STB,pending,
STB_Q5,mcq,english,Reading_Comprehension,,"The phrases ""clings to life"" and ""stripped of bark"" in paragraph 6 are used to highlight",that the tree is fragile and needs help to avoid becoming extinct.,how the tree can be misunderstood because of its appearance.,how the tree interests observers with its unusual appearance.,that the tree manages to survive even when partially fossilized.,D,,STB,pending,
STB_Q6,mcq,english,Reading_Comprehension,,What is the best summary of the bristlecone pine's life cycle?,"The bristlecone pine takes root as a stubby seedling in the mountains. Over time, it grows slowly in a hostile environment with alkaline soil that ensures little competition from other trees.","The bristlecone pine grows up slowly from the fragments of its dead ancestors. Over time, it begins to become contorted in appearance but continues to funnel water and nutrients to its stem.","The bristlecone pine grows slowly in an environment hostile to other trees. Over time, its trunk and some branches fossilize, but it funnels water and nutrients to other parts that are still alive.","The bristlecone pine grows only in one location in the mountains. Over time, it develops sparse foliage that fossilizes slowly, but the trunk and branches stay alive, as revealed by ribbons of live bark.",C,,STB,pending,
STB_Q7,mcq,english,Reading_Comprehension,,"Throughout the excerpt, the author conveys his point of view mainly by",sharing details about the qualities of the bristlecone pine that make it an unusual tree.,comparing the bristlecone pine to global empires that lasted thousands of years before falling.,explaining the way the seemingly sickly appearance of the bristlecone pine contrasts with its ability to survive.,arguing that the bristlecone pine has survived past threats to its survival and will continue to thrive.,A,,STB,pending,
STB_Q8,mcq,english,Reading_Comprehension,,"The words ""feat,"" ""humanly impossible,"" and ""impenetrable barrier"" in paragraph 1 affect the tone of the paragraph because they",highlight the idea that only the most skilled runners would be able to run a four-minute mile.,emphasize the idea that running a mile in less than four minutes was a seemingly unattainable goal.,convey the competitiveness among elite runners to consistently set and break speed records.,show the intensity of the training programs athletes endure in order to achieve their goals.,B,,STB,pending,
STB_Q9,mcq,english,Reading_Comprehension,,"Read these sentences from paragraph 7.

Bannister said, ""I felt that the moment of a lifetime had come. There was no pain, only a great unity of movement and aim.""

The sentences contribute to the development of ideas in the passage by showing that Bannister",knew that he was about to achieve the goal he had worked toward.,was no longer experiencing personal disappointment from his past failure in the Olympics.,felt grateful to his teammates for helping him take the lead.,was satisfied that his training had helped him perfect his running technique.,A,,STB,pending,
STB_Q10,mcq,english,Reading_Comprehension,,"Which sentence best supports the idea that Bannister needed an alternative to ""logical planning"" (paragraph 3) in order to accomplish his goal?","""Bannister's performance was a disappointment for him and his country, Great Britain."" (paragraph 2)","""The amateur athlete decided to use intensive interval training to develop endurance and speed."" (paragraph 3)","""For these workouts, Bannister ran an interval of ten consecutive laps on a quarter-mile track, aiming for sixty seconds each lap."" (paragraph 3)","""Frustrated by the plateau he had reached, Bannister took a break from training and went mountain climbing for three days."" (paragraph 4)",D,,STB,pending,
STB_Q11,mcq,english,Reading_Comprehension,,Which sentence from the passage indicates that Bannister nearly made a mistake that would have cost him the world record?,"""By early 1954, Bannister had succeeded in lowering his quarter-mile pace to sixty-one seconds, but he had to shave off at least one more second in order to reach his target."" (paragraph 4)","""When the starting pistol fired, Brasher pounced into the lead, and Bannister followed behind his first rabbit."" (paragraph 6)","""Propelled by the excitement, Bannister lost his instinctive feel for his pace and shouted 'Faster!' at Brasher."" (paragraph 7)","""At the beginning of the back straightaway of the track, Bannister bolted past Chataway."" (paragraph 7)",C,,STB,pending,
