uid,type,subject,sub_category,difficulty,text,choice_1,choice_2,choice_3,choice_4,answer,media_refs,source,status,extra_data
STA_Q1,mcq,english,Reading_Comprehension,,The description in the first stanza (lines 1–7) helps establish a central idea of the poem by,comparing the length of time the mountains have existed with the length of time the city has existed.,contrasting the grandeur of the mountains with the structures in the city below them.,implying that the mountains are a source of inspiration to the people in the city below.,suggesting that the mountains are larger than the people in the city realize.,B,,STA,pending,
STA_Q2,mcq,english,Reading_Comprehension,,Which detail from the poem reflects the speaker's view that people often fail to appreciate what is familiar?,"""The mountains from the great plateau"" (line 6)","""They have been here now for too long a time."" (line 9)","""Splits down their shining sides,"" (line 12)","""To which the future is as was the past,"" (line 18)",B,,STA,pending,
STA_Q3,mcq,english,Reading_Comprehension,,"How does isolating the word ""Uprise"" in line 7 affect the meaning of the poem?",It creates a contrast between the great plateau and the city buildings.,It reveals the similarity between the tall buildings in the city and the tall mountains on the horizon.,It creates a vision of the region before people developed the land.,It emphasizes that the mountains dominate the landscape.,D,,STA,pending,
STA_Q4,multi-select,english,Reading_Comprehension,,In which two ways does the poet develop the speaker's point of view in the second stanza (lines 8–14)? Select the two correct answers.,by describing the mountains' awe-inspiring size and strength,by comparing the various methods humans use to control nature,by criticizing the careless actions of humans that harm the natural environment,by demonstrating how the mountains and the people are able to benefit from each other,"C,E",,STA,pending,"{""select_count"": 2, ""choice_5"": ""by depicting the unfortunate plight of the mountains with vivid details""}"
STA_Q5,mcq,english,Reading_Comprehension,,"Read lines 21-22 from the poem.

Barrier broken down by those who do not need
The joy of time-resisting storm-worn stone,

How do the lines help convey the speaker's point of view?",They suggest that the speaker wants to remove the obstacles that prevent others from experiencing the wonders of nature.,They reveal the speaker's opinion that some people are too busy to appreciate natural beauty.,They reflect the speaker's dismay that people destroy the natural landscape without understanding the ramifications of their actions.,They explain that the speaker is confident that nature will never be fully destroyed by people.,C,,STA,pending,
STA_Q6,mcq,english,Reading_Comprehension,,"Read lines 23-26 from the poem.

The mountains swing along
The south horizon of the sky;
Welcoming with wide floors of blue-green ice
The mists that dance and drive before the sun.

The personification in these concluding lines of the poem suggests that the mountains are",gracious hosts who are untroubled by the actions of people.,unaware of their coming destruction.,lively entertainers who are amused by the everyday concerns of people.,too proud to reveal their pain.,A,,STA,pending,
STA_Q7,multi-select,english,Reading_Comprehension,,"Which quotations from the poem support the theme that nature's unspoiled beauty is splendid, and which quotations support the theme that human creations detract from natural wonder? Move each answer to the correct box.","""Above the dingy city-roofs / Blue-white like angels with broad wings,"" (lines 3–4)","""Pillars of the sky at rest / The mountains from the great plateau / Uprise."" (lines 5–7)","""Tunnels their granite cliffs, / Splits down their shining sides,"" (lines 11–12)","""Wilderness still untamed, / To which the future is as was the past,"" (lines 17–18)","Nature's Unspoiled Beauty is Splendid: A,B,D,E; Human Creations Detract from Natural Wonder: C",,STA,pending,"{""select_count"": 5, ""choice_5"": ""\""The south horizon of the sky; / Welcoming with wide floors of blue-green ice\"" (lines 24\u201325)""}"
STA_Q8,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 1.

""At Lund University in Sweden, researchers argue that ravens may be able to think ahead and even plan for the future.""

Which sentence from paragraph 4 provides support for this argument?","""Once the ravens learned the behavior, the researchers presented the birds with four stones.""","""A researcher would trade the ravens a large treat for a bottle cap.""","""Later, the researchers presented the ravens with a group of items, including small treats and the bottle cap.""","""The ravens chose the bottle cap over the treats and waited for the original researcher to trade with them again so that they could get more treats.""",D,,STA,pending,
STA_Q9,mcq,english,Reading_Comprehension,,"Read these sentences from paragraph 2.

For example, many animals hoard food so that they will not run out later, but scientists who study animals would not call hoarding a decision to plan for the future. This action is merely instinctual.

Which statement describes the effect of the phrase ""merely instinctual"" in the passage?",It implies that animals are skilled at finding and saving food for later consumption.,It conveys that many animals will usually prioritize gathering food over other activities.,It suggests that animals often store more food than they will be able to consume.,It emphasizes that many animals collect food automatically rather than with true intention.,D,,STA,pending,
STA_Q10,mcq,english,Reading_Comprehension,,"In the first experiment described in paragraph 4, which of the ravens' behaviors provides the strongest evidence for the claim that the birds are capable of planning?",They accepted treats from the box.,They set aside the stone that would open the box.,They learned which stone could open the box.,They waited for researchers to bring the box.,B,,STA,pending,
STA_Q11,mcq,english,Reading_Comprehension,,How does paragraph 5 fit into the overall structure of the passage and contribute to the development of ideas?,"It introduces a problem with the results of the study at Lund University, suggesting that some scientists believe that further research will not lead to a clear answer.","It summarizes the final steps of the study at Lund University, emphasizing the difficulties researchers had in differentiating between true planning and practiced actions.","It provides a conclusion to the information about the Lund University study, indicating that some scientists think further research is needed in order to prove the idea.","It lists the effects of the study at Lund University, implying that researchers should have designed experiments that better differentiated between planning and instinct.",C,,STA,pending,
STA_Q12,mcq,english,Reading_Comprehension,,The author conveys a point of view on the study of animal intelligence mainly by,sharing details about experiments that tested the ability of an animal to plan for the future.,comparing the results of different experiments that were designed to test animal intelligence.,critiquing experiments that aimed to demonstrate that certain animals are capable of planning for the future.,explaining how modern experiments show that previously held beliefs about animal intelligence are inaccurate.,D,,STA,pending,
STA_Q13,mcq,english,Reading_Comprehension,,With which statement would the author of the passage most likely agree?,Scientists are unlikely to be able to conduct an experiment that can genuinely distinguish between instinctual and learned behaviors in animals.,Scientists should continue researching to determine whether or not animals can demonstrate advanced intelligence.,Scientists should be careful about making conclusions about animal intelligence based on experiments that rely on training animals.,Scientists can confirm data on whether animals have the ability to plan by performing experiments on additional species known for their intelligence.,C,,STA,pending,
STA_Q14,mcq,english,Reading_Comprehension,,"In paragraph 2, how does the phrase ""when all three had taken the trouble to tell her"" affect the tone in the first part of the excerpt?",It creates an accusatory tone by suggesting that Margaret believes that others are responsible for her problem.,It introduces a defiant tone by suggesting that Margaret left the train early to prove a point.,It suggests a frustrated tone by showing that Margaret feels confused by the inconsistent help offered by the railroad employees.,It establishes an appreciative tone by showing that Margaret feels cared for by the railroad employees.,C,,STA,pending,
STA_Q15,mcq,english,Reading_Comprehension,,Which sentence from the excerpt best supports the idea that Margaret is unaccustomed to traveling to new places by train?,"""With a lurch the train came to a dead stop and Margaret Earle, hastily gathering up her belongings, hurried down the aisle and got out into the night."" (paragraph 1)","""Perhaps something was the matter with the engine that detained them and they had forgotten her for the moment."" (paragraph 2)","""Did they not have platforms in this wild Western land, or was the train so long that her car had stopped before reaching it?"" (paragraph 3)","""She could dimly see moving figures away up near the engine, and each one evidently carried a lantern."" (paragraph 4)",C,,STA,pending,
STA_Q16,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 4.

She strained her eyes into the darkness, and tried to make out things from the two or three specks of light that danced about like fireflies in the distance.

The simile used in the sentence affects the tone of the paragraph by emphasizing a",feeling of comfort as Margaret connects her unfamiliar surroundings with familiar images.,sense of lonesomeness as Margaret realizes that she is on her own in the wilderness.,sense of tranquility as Margaret is distracted from the urgency of her situation by the beauty of the night.,feeling of dread as Margaret regards the desolation of the land that surrounds her.,B,,STA,pending,
STA_Q17,mcq,english,Reading_Comprehension,,"How do Margaret's earlier interactions with the conductor, brakeman, and porter affect the plot?",They prompt Margaret to get off the train without further assistance.,They cause Margaret to think that she knows what to do once she gets off the train.,They compel Margaret to wonder whether the train has not pulled all the way into the station.,They lead Margaret to believe that train stations in rural areas lack platforms.,C,,STA,pending,
STA_Q18,mcq,english,Reading_Comprehension,,How does Margaret's experience in paragraph 9 emphasize a theme of the excerpt?,It confirms Margaret's understanding that she cannot rely on help from anyone else.,It leads Margaret to realize that her desire to change her situation is impractical.,It causes Margaret to believe that her own actions led to an unfavorable outcome.,It reinforces Margaret's frustration about her lack of control over her surroundings.,A,,STA,pending,
STA_Q19,mcq,english,Reading_Comprehension,,How does paragraph 11 contribute to the plot of the excerpt?,It reveals that the reality of the situation is different from Margaret's assumptions.,It illustrates that Margaret's main problem is her own imagination.,It shows that Margaret is surprised by the unexpected adventure she is about to undertake.,It provides insight into how Margaret reacts to stressful situations.,A,,STA,pending,
STA_Q20,mcq,english,Reading_Comprehension,,What do the newspaper editor's comments in paragraph 1 reveal about the challenges Ederle faced in attempting her feat?,"Regardless of her ability, being an American put Ederle at a serious disadvantage over a Londoner, who would be more familiar with the English Channel.","At the time, Ederle still needed more training in order to succeed in the daunting task of swimming the English Channel.","While Ederle could participate in athletic competition, some people were not comfortable with her attempt to swim the channel because no woman had ever attempted it before.","In spite of her previous achievements, Ederle still experienced social as well as physical obstacles in attempting to swim the channel.",D,,STA,pending,
