uid,type,subject,sub_category,difficulty,text,choice_1,choice_2,choice_3,choice_4,answer,media_refs,source,status,extra_data
STD_Q1,mcq,english,Reading_Comprehension,,The details in paragraph 3 about cognitive offloading convey a central idea of the passage by,suggesting that reliance on the Internet for information is inevitable.,demonstrating how the methods used to store and find information have changed over time.,explaining how encyclopedias and the Internet are similar sources of information.,implying that more information can be understood now than ever before.,B,,STD,pending,
STD_Q2,mcq,english,Reading_Comprehension,,How do the details about the experiment described in paragraph 5 convey a central idea of the passage?,They suggest that the act of repeating information by typing it on a keyboard may improve a person's memory.,They explain that a person will forget information faster if the information is considered unimportant.,They indicate that a person may start to forget details when the amount of information becomes overwhelming.,They suggest that memory is affected by whether a person expects to have access to the information in the future.,D,,STD,pending,
STD_Q3,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 7.

As the Internet's resources continue to expand our ""external"" memory, some question whether the process may cause people to depend too heavily on technology.

How does the sentence contribute to the structure and development of ideas in the passage?",It presents a claim about the risks of relying on the Internet that prompted the research described in paragraphs 2 and 6.,It contrasts a disadvantage of relying on the Internet with the benefits of Internet use that are described in paragraphs 2 and 6.,It signals a shift from a neutral viewpoint in paragraphs 2 and 6 to a presentation of an argument and a counterargument.,It introduces a counterargument and marks a transition from an optimistic tone in paragraphs 2 and 6 to a cautious tone as the counterargument is developed.,D,,STD,pending,
STD_Q4,mcq,english,Reading_Comprehension,,The study described in paragraph 6 influenced researchers' ideas about memory in the digital age by,highlighting instances when organizing detailed information made it easier to remember.,confirming that keywords can be remembered more easily than large amounts of information.,identifying a shift in focus from remembering specific information to knowing where to find it.,emphasizing that remembering a basic idea is more important than storing detailed information.,C,,STD,pending,
STD_Q5,mcq,english,Reading_Comprehension,,How does the diagram provide additional support for the topic presented in the passage?,It reveals why human brains must adapt to obtaining information from the Internet as opposed to other sources.,It indicates how people can use the Internet to help improve their long-term recollection of information.,It shows how study participants' brains distinguished between important and unimportant details.,It depicts the idea that repetition and rehearsal are necessary to recall information when tools such as search engines are unavailable.,B,,STD,pending,
STD_Q6,mcq,english,Reading_Comprehension,,"Which evidence from the passage is most relevant to the claim in paragraph 7 that "" 'far from making us stupid, these technologies are the only things that will keep us smart' ""?",the revelation that most people opted to use the Internet to answer relatively easy trivia questions rather than relying on their own brainpower (paragraph 2),the assertion that the storage of information on the Internet frees people to focus on higher-order tasks such as problem solving (paragraph 3),the connection between how people organize information in their mind and their ability to recall that information (paragraph 5),the description of transactive memory as an expansive external source that people can use to store information (paragraph 6),B,,STD,pending,
STD_Q7,mcq,english,Reading_Comprehension,,The effect of the Internet on a person's memory is illustrated in the passage through the presentation of studies that,examine how the use of search engines changes the way people evaluate and store information for future access.,highlight the difference between the capacity of the Internet and the ability of the human brain to locate information.,compare the type of information that can be obtained from the Internet with the type of information that is stored in the human brain.,emphasize the ease of obtaining information through search engines rather than remembering it without assistance.,A,,STD,pending,
STD_Q8,mcq,english,Reading_Comprehension,,How does paragraph 1 introduce the idea that the Wright brothers knew that their flight attempt was risky?,through the mention of a signal to notify lifesaving experts that the flight attempt was about to begin,by providing specific details about the speed of the wind and the Wright brothers' response to the windy conditions,by suggesting that a slower landing would be necessary at the end of the flight in order to maintain safety,through the indication that the Wright brothers waited indoors for most of the morning because of the poor weather,A,,STD,pending,
STD_Q9,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 4.

Wilbur having used his turn in the unsuccessful attempt on the 14th, the right to the first trial now belonged to me.

The sentence contributes to the development of ideas in the excerpt by",demonstrating the challenge of the extreme winter conditions during the flight.,revealing how many tries it took for Wilbur Wright to finally get the machine to take flight.,demonstrating that both Orville and Wilbur Wright were eager to pilot what could potentially be the first flight.,suggesting a sense that both brothers felt confident they would soon succeed in completing the first flight.,C,,STD,pending,
STD_Q10,mcq,english,Reading_Comprehension,,The photograph mentioned in paragraph 4 is significant because it,documents that the machine rose into the air as soon as the tethering wire was released.,provides proof of the critical moment the machine took flight.,documents that the wind reduced the speed of the plane at the start of the flight.,provides proof that the pilot had to gradually increase the height of the plane in the air.,B,,STD,pending,
STD_Q11,mcq,english,Reading_Comprehension,,How do the details in paragraph 5 about the uneven nature of the flight convey a central idea of the excerpt?,by explaining how the flawed design of the machine caused it to turn unpredictably in the air and brought the first flight by a person to an abrupt end,by indicating that the difficulty in controlling the flight was caused by the rudimentary instruments of the machine and the inexperience of the pilot,by explaining how the pilot and the plane overcame adverse conditions in order to complete the first piloted flight,by indicating that the gradual change in wind velocity created an extreme environment in which to maneuver the plane and maintain its flight,C,,STD,pending,
STD_Q12,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 5.

As the velocity of the wind was over 35 feet per second and the speed of the machine over the ground against this wind ten feet per second, the speed of the machine relative to the air was over 45 feet per second, and the length of the flight was equivalent to a flight of 540 feet made in calm air.

How does the sentence help convey Orville Wright's perspective about this first flight?",It suggests that he was frustrated by the poor flying conditions on the day of the flight.,It emphasizes that he believed the flight was successful despite its short distance.,It provides a comparison between flight distances under calm and high wind conditions.,It highlights the importance of such calculations in the success of future flights.,B,,STD,pending,
STD_Q13,mcq,english,Reading_Comprehension,,Which sentence from the excerpt best supports the idea that the Wright brothers had to adapt their plans for the flight in order to accommodate the weather conditions?,"""When we arose on the morning of the 17th, the puddles of water, which had been standing about camp since the recent rains, were covered with ice."" (paragraph 1)","""We realized the difficulties of flying in so high a wind, but estimated that the added dangers in flight would be partly compensated for by the slower speed in landing."" (paragraph 1)","""After running the motor a few minutes to heat it up, I released the wire that held the machine to the track, and the machine started forward in the wind."" (paragraph 4)","""The course of the flight up and down was exceedingly erratic, partly due to the irregularity of the air, and partly to lack of experience in handling this machine."" (paragraph 5)",B,,STD,pending,
STD_Q14,mcq,english,Reading_Comprehension,,The use of chronological structure contributes to the development of ideas in the excerpt by,outlining the actions that the Wright brothers took to prepare for and successfully complete the first flight.,identifying the primary factors that allowed the Wright brothers to overcome obstacles and achieve the first flight.,showing how the Wright brothers applied lessons learned from their previous flight attempts to accomplish the first flight.,demonstrating how the Wright brothers analyzed the impact of wind velocity to identify the ideal conditions for the first flight.,A,,STD,pending,
STD_Q15,mcq,english,Reading_Comprehension,,The details in paragraph 1 contribute to a central idea of the passage by showing that Darimont,believed the Great Bear Rainforest was an ideal location to study wolves in their natural habitat because it is a protected area.,"values different perspectives, because the information that Starr provided influenced the focus of Darimont's research.",thought the Great Bear Rainforest would provide opportunities to study different groups of wolves because the area includes forests and islands.,"understands the importance of respecting local community members, because Darimont sought permission from an elder of the Heiltsuk Nation before starting his research.",D,,STD,pending,
STD_Q16,mcq,english,Reading_Comprehension,,Why does the author include details about the conversation between Starr and Darimont in paragraph 2?,to explain why Starr had closely observed the relationship between the two groups of wolves Darimont wanted to study,to show that Darimont was hoping to work with Starr and to study both groups of wolves in the area,to highlight that Darimont was unfamiliar with the area and expected Starr to help him find wolves to study,to emphasize that the question asked by Starr caused Darimont to review his initial assumption about the wolves,D,,STD,pending,
STD_Q17,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 4.

After collecting and analyzing the DNA in 800 samples of gray fur and wolf waste, researchers could produce hard biological evidence that sea wolves had genetic markers that made them distinct from the mainland wolves.

The phrase ""hard biological evidence"" conveys that the goal of the research team was to",develop a procedure in order to ensure their study yielded plentiful data about the wolves.,seek definitive scientific proof of the number of wolf species present in the area of the study.,conduct a study to evaluate multiple theories about the diets of different wolf species.,discover if the new data would provide information different from that of previous studies.,D,,STD,pending,
STD_Q18,mcq,english,Reading_Comprehension,,The author uses the word “admits” in paragraph 5 most likely to,note that Darimont’s genetic research verified a theory based solely on field observations.,imply that Darimont’s study was disappointing because the conclusion that he reached was not original.,emphasize that Darimont’s study ultimately confirmed an idea that he had initially doubted.,highlight that Darimont’s results led him to draw a conclusion from his research that his team did not agree with.,C,,STD,pending,
STD_Q19,mcq,english,Reading_Comprehension,,Which sentence from the passage best supports the idea that sea wolves had successfully adapted to living on the islands?,"""While mainland wolves almost exclusively eat meat, such as deer and elk, and teach their young to hunt for land animals, sea wolves get as much as 90 percent of their nutrition from the sea and teach their young to dig for clams and to catch fish."" (paragraph 3)","""Sea wolves regularly swim between islands and have been known to sneak up on a seal sunning itself on a rock and make a leaping attack from the water."" (paragraph 3)","""Darimont suspects that some sea wolves live their entire life on the islands."" (paragraph 3)","""Darimont hypothesizes that a change in habitat led to the eventual genetic differences between sea wolves and mainland wolves."" (paragraph 4)",B,,STD,pending,
STD_Q20,mcq,english,Reading_Comprehension,,How did a change in habitat most affect the wolf population of the Great Bear Rainforest over time?,It caused some of the wolves to learn new hunting techniques in order to catch increasingly scarce prey.,"It caused the wolves to form smaller packs and eventually separate, establishing distinct territories.","It caused some of the wolves to gradually become a new, genetically distinct species as they adapted behaviorally.",It caused the wolves to adapt their diet as different food sources became available in the area.,C,,STD,pending,
STD_Q21,mcq,english,Reading_Comprehension,,The comparison in lines 8-9 of the poem is used to convey,the muffled pounding of explosions in the distance.,the way lightning streaks through the clouds.,the echoes of thunder on an autumn night.,the glow of sparks falling from the sky.,A,,STD,pending,
STD_Q22,mcq,english,Reading_Comprehension,,"Read lines 22-23 from the poem.

the sky at night written upon
with those jewels.

What does the word choice in these lines convey about the speaker?",The speaker values material possessions.,The speaker imagines that the fireworks are magical.,The speaker believes that the country setting is distinctive.,The speaker cherishes the memory of seeing fireworks as a child.,B,,STD,pending,
